step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
41032,2023-07-03 15:18:47.803747408,2,192.225,95.0,-0.2758676820430112,0.25398218204301576,0.0049999999999954525,0.0168855
41037,2023-07-03 15:18:47.803943950,2,192.22,228.0,-0.28040958204300664,0.25398218204301576,0.009999999999990905,0.0164274
41040,2023-07-03 15:18:47.947355774,1,192.22,201.0,-0.27049638204301574,0.25398218204301576,0.0,0.0165142
41041,2023-07-03 15:18:48.107303774,1,192.22,145.0,-0.2704884820430158,0.25398218204301576,0.0,0.0165063
41042,2023-07-03 15:18:49.622631847,2,192.21,207.0,-0.20712082322316352,0.17959252322317262,0.009999999999990905,0.0175283
41048,2023-07-03 15:18:54.480065155,1,192.215,158.0,-0.2755127820430112,0.25398218204301576,0.0049999999999954525,0.0165306
41049,2023-07-03 15:18:54.910050755,2,192.215,174.0,-0.2758980820430112,0.25398218204301576,0.0049999999999954525,0.0169159
41050,2023-07-03 15:18:54.910050755,1,192.21,80.0,-0.2596944148764256,0.2327785148764347,0.009999999999990905,0.0169159
41053,2023-07-03 15:18:54.910050755,2,192.21,136.0,-0.28089808204300665,0.25398218204301576,0.009999999999990905,0.0169159
41054,2023-07-03 15:18:54.910084434,2,192.21,155.0,-0.28044848204300665,0.25398218204301576,0.009999999999990905,0.0164663
41056,2023-07-03 15:18:54.910204560,2,192.21,233.0,-0.28041928204300665,0.25398218204301576,0.009999999999990905,0.0164371
41058,2023-07-03 15:18:54.912014397,1,192.21,118.0,-0.2934936506154259,0.27706185061542593,0.0,0.0164318
41059,2023-07-03 15:18:54.912076104,2,192.21,182.0,-0.2197094456344126,0.2031857456344126,0.0,0.0165237
41074,2023-07-03 15:18:56.856533310,2,192.2,71.0,-0.28043628204303506,0.25398218204301576,0.010000000000019327,0.0164541
41075,2023-07-03 15:18:58.836354264,1,192.19,155.0,-0.07753763640859405,0.05079643640860315,0.009999999999990905,0.0167412
41078,2023-07-03 15:18:59.325409481,2,192.18,162.0,-0.06272210464462544,0.03591850464463453,0.009999999999990905,0.0168036
41079,2023-07-03 15:18:59.325409481,1,192.18,92.0,-0.05220181820429248,0.025398218204301576,0.009999999999990905,0.0168036
41082,2023-07-03 15:19:01.440292324,1,192.17,73.0,-0.2810008820430351,0.25398218204301576,0.010000000000019327,0.0170187
41083,2023-07-03 15:19:01.440292324,1,192.17,206.0,-0.10733491803556404,0.08031621803554471,0.010000000000019327,0.0170187
41085,2023-07-03 15:19:01.440292324,2,192.17,245.0,-0.2639175084646009,0.23689880846458156,0.010000000000019327,0.0170187
41086,2023-07-03 15:19:01.440348252,2,192.17,149.0,-0.1181205780410516,0.09157457804103226,0.010000000000019327,0.016546
41087,2023-07-03 15:19:01.440348252,2,192.17,182.0,-0.22163341576342946,0.19508741576341013,0.010000000000019327,0.016546
41088,2023-07-03 15:19:01.440572458,2,192.17,154.0,-0.22176191576342946,0.19508741576341013,0.010000000000019327,0.0166745
41090,2023-07-03 15:19:01.440976892,1,192.17,239.0,-0.18916624657159098,0.16262794657157165,0.010000000000019327,0.0165383
41093,2023-07-03 15:19:01.712183256,2,192.17,61.0,-0.27044818204301574,0.25398218204301576,0.0,0.016466
41099,2023-07-03 15:19:02.556272835,1,192.17,77.0,-0.3164076423785215,0.28958424237850217,0.010000000000019327,0.0168234
41101,2023-07-03 15:19:02.556272835,1,192.17,185.0,-0.052221618204320905,0.025398218204301576,0.010000000000019327,0.0168234
41104,2023-07-03 15:19:03.491193933,2,192.17,120.0,-0.16879430922580946,0.15238930922580946,0.0,0.016405
41107,2023-07-03 15:19:04.204483658,1,192.16,83.0,-0.38599454644633613,0.35918504644634525,0.009999999999990905,0.0168095
41110,2023-07-03 15:19:05.178240410,1,192.16,174.0,-0.2807950820430067,0.25398218204301576,0.009999999999990905,0.0168129
41112,2023-07-03 15:19:05.178240410,2,192.16,164.0,-0.20640542322316352,0.17959252322317262,0.009999999999990905,0.0168129
41114,2023-07-03 15:19:08.301417794,2,192.15,252.0,-0.28067838204300666,0.25398218204301576,0.009999999999990905,0.0166962
41117,2023-07-03 15:19:08.301756894,1,192.15,87.0,-0.19637902322317263,0.17959252322317262,0.0,0.0167865
41118,2023-07-03 15:19:08.301777713,1,192.15,251.0,-0.27070268204301573,0.25398218204301576,0.0,0.0167205
41119,2023-07-03 15:19:08.301876476,2,192.15,87.0,-0.19608152322317263,0.17959252322317262,0.0,0.016489
41120,2023-07-03 15:19:08.301988376,2,192.15,125.0,-0.19604952322317262,0.17959252322317262,0.0,0.016457
41122,2023-07-03 15:19:09.466263269,1,192.16,70.0,-0.09687481803554471,0.08031621803554471,0.0,0.0165586
41123,2023-07-03 15:19:09.466263269,2,192.16,67.0,-0.2197443456344126,0.2031857456344126,0.0,0.0165586
41125,2023-07-03 15:19:09.466319600,1,192.16,150.0,-0.27086738204301575,0.25398218204301576,0.0,0.0168852
41126,2023-07-03 15:19:09.466319600,1,192.16,145.0,-0.12759346649854564,0.11070826649854565,0.0,0.0168852
41129,2023-07-03 15:19:11.138069278,1,192.16,55.0,-0.16564277030933416,0.13911177030934327,0.009999999999990905,0.016531
41131,2023-07-03 15:19:11.336031394,1,192.17,112.0,-0.06789783640860315,0.05079643640860315,0.0,0.0171014
41132,2023-07-03 15:19:11.336031394,1,192.17,162.0,-0.06789783640860315,0.05079643640860315,0.0,0.0171014
41134,2023-07-03 15:19:11.336031394,2,192.17,223.0,-0.13068568482438192,0.11358428482438193,0.0,0.0171014
41136,2023-07-03 15:19:11.336031394,1,192.17,66.0,-0.27108358204301575,0.25398218204301576,0.0,0.0171014
41138,2023-07-03 15:19:11.337011264,2,192.18,69.0,-0.27040938204301573,0.25398218204301576,0.0,0.0164272
41139,2023-07-03 15:19:11.337061262,1,192.18,178.0,-0.27042698204301574,0.25398218204301576,0.0,0.0164448
41142,2023-07-03 15:19:11.337090510,2,192.18,101.0,-0.04218151820430158,0.025398218204301576,0.0,0.0167833
41145,2023-07-03 15:19:11.337197352,1,192.18,190.0,-0.30604264237850215,0.28958424237850217,0.0,0.0164584
41146,2023-07-03 15:19:11.337976072,1,192.18,120.0,-0.27923728038171813,0.25270908038172724,0.009999999999990905,0.0165282
41152,2023-07-03 15:19:24.533028936,1,192.195,109.0,-0.27565818204301124,0.25398218204301576,0.0049999999999954525,0.016676
41157,2023-07-03 15:19:24.533258232,2,192.19,112.0,-0.28071698204300666,0.25398218204301576,0.009999999999990905,0.0167348
41158,2023-07-03 15:19:24.533258232,2,192.19,173.0,-0.28071698204300666,0.25398218204301576,0.009999999999990905,0.0167348
41159,2023-07-03 15:19:25.456773691,2,192.19,87.0,-0.28061668204300666,0.25398218204301576,0.009999999999990905,0.0166345
41160,2023-07-03 15:19:25.525998967,1,192.185,232.0,-0.07223473640859861,0.05079643640860315,0.0049999999999954525,0.0164383
41161,2023-07-03 15:19:26.699276529,2,192.18,151.0,-0.27926628038171813,0.25270908038172724,0.009999999999990905,0.0165572
41164,2023-07-03 15:19:27.502880418,1,192.19,212.0,-0.1849998202544848,0.16847272025448481,0.0,0.0165271
41167,2023-07-03 15:19:27.503507005,1,192.19,92.0,-0.31184682838580613,0.29510062838580614,0.0,0.0167462
41170,2023-07-03 15:19:27.503551436,1,192.19,158.0,-0.28055418204300664,0.25398218204301576,0.009999999999990905,0.016572
41172,2023-07-03 15:19:27.503623796,1,192.19,155.0,-0.38564814644633616,0.35918504644634525,0.009999999999990905,0.0164631
41174,2023-07-03 15:19:27.503729696,2,192.19,125.0,-0.052106318204292484,0.025398218204301576,0.009999999999990905,0.0167081
41179,2023-07-03 15:19:30.924284212,1,192.17,217.0,-0.051983218204320905,0.025398218204301576,0.010000000000019327,0.016585
41181,2023-07-03 15:19:31.075195514,1,192.17,228.0,-0.14281675743823669,0.11638925743821735,0.010000000000019327,0.0164275
41183,2023-07-03 15:19:43.113485371,2,192.18,247.0,-0.27081498204301574,0.25398218204301576,0.0,0.0168328
41184,2023-07-03 15:19:43.113485371,1,192.18,109.0,-0.26826233251244164,0.25142953251244166,0.0,0.0168328
41186,2023-07-03 15:19:44.581021388,2,192.175,72.0,-0.2755435820430112,0.25398218204301576,0.0049999999999954525,0.0165614
41188,2023-07-03 15:19:48.170432426,1,192.17,127.0,-0.0524651182043209,0.025398218204301576,0.010000000000019327,0.0170669
41189,2023-07-03 15:19:48.170432426,2,192.17,174.0,-0.19744332723659222,0.1703764272365729,0.010000000000019327,0.0170669
41190,2023-07-03 15:19:48.170432426,2,192.17,180.0,-0.2810490820430351,0.25398218204301576,0.010000000000019327,0.0170669
41191,2023-07-03 15:19:48.170432426,2,192.17,192.0,-0.2810490820430351,0.25398218204301576,0.010000000000019327,0.0170669
41193,2023-07-03 15:19:48.170715125,1,192.17,147.0,-0.12812947281722564,0.1015928728172063,0.010000000000019327,0.0165366
41195,2023-07-03 15:19:48.170722777,1,192.17,118.0,-0.12842237281722563,0.1015928728172063,0.010000000000019327,0.0168295
41196,2023-07-03 15:19:48.170722777,2,192.17,59.0,-0.20642202322319195,0.17959252322317262,0.010000000000019327,0.0168295
41197,2023-07-03 15:19:48.170722777,2,192.17,188.0,-0.20642202322319195,0.17959252322317262,0.010000000000019327,0.0168295
41199,2023-07-03 15:19:48.171454056,2,192.16,100.0,-0.05195181820429248,0.025398218204301576,0.009999999999990905,0.0165536
