step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
10859,2023-07-03 13:39:50.366426865,1,193.32,9.0,-0.09689391803554472,0.08031621803554471,0.0,0.0165777
10862,2023-07-03 13:39:51.472053199,1,193.32,4.0,-0.10676871803556404,0.08031621803554471,0.010000000000019327,0.0164525
10863,2023-07-03 13:39:51.569343491,1,193.33,7.0,-0.27039878204301576,0.25398218204301576,0.0,0.0164166
10864,2023-07-03 13:39:51.569409976,2,193.33,2.0,-0.2380163329970913,0.2214165329970913,0.0,0.0165998
10865,2023-07-03 13:39:51.569409976,2,193.33,7.0,-0.29482334061868654,0.27822354061868654,0.0,0.0165998
10866,2023-07-03 13:39:51.669928222,2,193.33,8.0,-0.26330300846457244,0.23689880846458156,0.009999999999990905,0.0164042
10867,2023-07-03 13:39:51.880614034,1,193.34,7.0,-0.06047230435157111,0.04399100435157111,0.0,0.0164813
10868,2023-07-03 13:39:52.037009535,1,193.34,3.0,-0.13281425743821734,0.11638925743821735,0.0,0.016425
10870,2023-07-03 13:39:52.133819866,2,193.35,5.0,-0.28058928204303507,0.25398218204301576,0.010000000000019327,0.0166071
10872,2023-07-03 13:39:52.404060440,1,193.32,8.0,-0.2806538820430351,0.25398218204301576,0.010000000000019327,0.0166717
10873,2023-07-03 13:39:52.404060440,2,193.32,9.0,-0.0520699182043209,0.025398218204301576,0.010000000000019327,0.0166717
10874,2023-07-03 13:39:53.092499958,2,193.31,5.0,-0.3536584508271197,0.32723315082712884,0.009999999999990905,0.0164253
10876,2023-07-03 13:39:53.130304667,2,193.31,6.0,-0.07079590435156202,0.04399100435157111,0.009999999999990905,0.0168049
10877,2023-07-03 13:39:53.130304667,1,193.31,9.0,-0.2807870820430067,0.25398218204301576,0.009999999999990905,0.0168049
10879,2023-07-03 13:39:53.369950909,1,193.31,5.0,-0.2809301820430067,0.25398218204301576,0.009999999999990905,0.016948
10880,2023-07-03 13:39:53.369950909,2,193.31,9.0,-0.15645401023421215,0.12950601023422126,0.009999999999990905,0.016948
10881,2023-07-03 13:39:53.370130128,1,193.31,9.0,-0.1723862555850439,0.145901655585053,0.009999999999990905,0.0164846
10882,2023-07-03 13:39:53.372661313,2,193.32,3.0,-0.1645615885640667,0.1480957885640667,0.0,0.0164658
10883,2023-07-03 13:39:53.422841069,1,193.32,10.0,-0.2228096001010702,0.2063361001010702,0.0,0.0164735
10884,2023-07-03 13:39:54.448961064,1,193.35,5.0,-0.26622099990562276,0.24885069990562278,0.0,0.0173703
10885,2023-07-03 13:39:54.448961064,1,193.35,8.0,-0.06816673640860316,0.05079643640860315,0.0,0.0173703
10886,2023-07-03 13:39:54.449058586,2,193.35,4.0,-0.2507054018705839,0.2341600018705839,0.0,0.0165454
10889,2023-07-03 13:39:54.455856327,1,193.34,8.0,-0.37001280900304134,0.3330945090030311,0.020000000000010232,0.0169183
10890,2023-07-03 13:39:54.455856327,1,193.34,7.0,-0.07283680464464476,0.03591850464463453,0.020000000000010232,0.0169183
10891,2023-07-03 13:39:54.455856327,2,193.34,10.0,-0.3961033464463555,0.35918504644634525,0.020000000000010232,0.0169183
10894,2023-07-03 13:39:54.455856327,2,193.34,8.0,-0.290900482043026,0.25398218204301576,0.020000000000010232,0.0169183
10895,2023-07-03 13:39:54.455856327,1,193.34,9.0,-0.1352851761286123,0.09836687612860205,0.020000000000010232,0.0169183
10896,2023-07-03 13:39:54.457049970,1,193.33,3.0,-0.12807047281719722,0.1015928728172063,0.009999999999990905,0.0164776
10897,2023-07-03 13:39:54.457049970,2,193.33,10.0,-0.2592561148764256,0.2327785148764347,0.009999999999990905,0.0164776
10898,2023-07-03 13:39:54.457078286,2,193.33,3.0,-0.1280628728171972,0.1015928728172063,0.009999999999990905,0.01647
10901,2023-07-03 13:39:55.410256222,1,193.3,7.0,-0.08374124241218187,0.056792142412190966,0.009999999999990905,0.0169491
10904,2023-07-03 13:39:55.630427031,1,193.29,9.0,-0.09881890928928838,0.07183700928926906,0.010000000000019327,0.0169819
10906,2023-07-03 13:39:55.639865063,1,193.28,9.0,-0.20663612322316352,0.17959252322317262,0.009999999999990905,0.0170436
10908,2023-07-03 13:39:55.639865063,1,193.28,9.0,-0.06296210464462543,0.03591850464463453,0.009999999999990905,0.0170436
10909,2023-07-03 13:39:55.639865063,1,193.28,6.0,-0.07784003640859405,0.05079643640860315,0.009999999999990905,0.0170436
10912,2023-07-03 13:39:55.686521501,1,193.28,4.0,-0.6885626911273545,0.6719736911273545,0.0,0.016589
10913,2023-07-03 13:39:55.686521501,1,193.28,6.0,-0.09690521803554472,0.08031621803554471,0.0,0.016589
